"position","name","points","dropped","clubname","countrycode","irating","avgfinish","topfive","starts","lapslead","wins","incidents","division","weekscounted","laps","poles","avgstart","custid"
"230","Martin Dale","823","0","UK and I","GB","2389","8","12","35","45","2","135","3","8","444","3","10","600316"
"231","Arnaud Kankelj","821","0","New England","US","5051","9","5","12","0","0","81","1","6","129","0","8","365200"
"232","Mariano Streubel","820","0","Hispanoamérica","AR","4476","8","13","34","42","4","268","2","5","362","2","10","239770"
"233","Carlos A Jimenez","819","0","Iberia","ES","2259","9","13","56","1","0","192","3","8","615","1","10","597764"
"234","Marvin Leßmöllmann","819","0","DE-AT-CH","DE","4054","7","6","13","9","1","49","2","6","159","1","6","316122"
"235","André de Carli","818","0","Brazil","BR","2770","8","12","26","40","3","141","2","6","256","2","6","353532"
"236","Corentin Coulot","818","0","France","FR","3998","9","1","8","0","0","36","1","8","89","0","11","326122"
"237","John Barbe","816","0","France","FR","2479","8","9","33","36","2","114","3","8","486","1","7","600501"
"238","Christoph Lipp","815","0","DE-AT-CH","DE","3080","9","7","19","39","3","72","2","7","201","5","4","546818"
"239","Matt Campbell3","814","0","Australia/NZ","AU","4413","9","4","7","37","2","36","1","4","63","1","6","90655"
"240","Levi Hencely","814","0","Georgia","US","2401","8","3","9","0","0","35","3","8","111","0","7","407205"
"241","Walter Lam","813","0","Canada","CA","2202","11","3","19","0","0","110","2","8","191","0","11","446402"
"242","Furkan OZER","812","0","International Club","TR","2624","9","5","12","23","2","55","3","8","132","1","8","525099"
"243","Patrick Donovan2","810","0","Georgia","US","1887","8","46","102","65","6","470","5","8","1024","1","9","596887"
"244","Rafal Rafalski2","810","0","DE-AT-CH","DE","2027","10","24","78","42","3","284","3","8","903","2","8","410037"
"245","Florin Garbea","808","0","Central-Eastern Europe","RO","2280","10","13","55","17","2","219","3","8","548","1","12","148578"
"246","Kevin Oonk","808","0","Benelux","NL","4355","5","5","7","0","0","16","1","5","88","0","7","150353"
